code,open,close,high,low,volume,money,pct_change,tradDays,date
000042.XSHE,9.04,9.22,9.4,8.800000000000002,7670483.0,69417959.32,0.0013953040985286158,5,2021-01-17
000042.XSHE,9.27,8.890000000000002,9.37,8.84,4843035.0,44241110.18,-0.0032964908875590115,5,2021-01-24
000045.XSHE,7.21,7.19,7.3,6.88,9432115.0,66841451.71,-0.00060600277162004,4,2020-12-27
000045.XSHE,7.2,7.17,7.23,6.92,7772313.0,55105419.08,-0.00020253193042019113,4,2021-01-03
000045.XSHE,7.17,6.9,7.29,6.71,13695785.0,96524121.69,-0.002698729061329619,5,2021-01-10
000045.XSHE,6.89,6.95,7.01,6.51,14609212.0,99207897.38000001,0.00049150404550935,5,2021-01-17
000045.XSHE,6.78,7.09,7.5,6.78,23429632.0,169206589.28,0.001390293962544975,5,2021-01-24
000046.XSHE,3.74,3.57,3.76,3.56,29168806.0,106388588.41,-0.001898820275978319,4,2020-12-27
000046.XSHE,3.52,3.28,3.55,3.15,111444688.0,369215309.64000005,-0.0029025997120001312,4,2021-01-03
000046.XSHE,3.3,3.15,3.3,2.99,85940232.0,271370187.13000005,-0.0012997098190703493,5,2021-01-10
000046.XSHE,3.15,3.1,3.21,2.98,65220620.0,201259510.57,-0.000500269922987906,5,2021-01-17
000046.XSHE,3.09,3.12,3.3,3.05,74872606.0,238384329.74000004,0.0001985807118798366,5,2021-01-24
000048.XSHE,22.48,23.61,23.67,21.31,13931784.0,313908849.9800001,0.009677069698932783,4,2020-12-27
000048.XSHE,23.7,22.9,23.7,22.62,7480124.0,172507356.27000004,-0.007092711248941064,4,2021-01-03
000048.XSHE,22.92,22.98,25.19,22.71,15220149.0,364186861.4100001,0.0006316273281443685,5,2021-01-10
000048.XSHE,22.75,22.81,23.46,22.0,8555338.0,192980392.70000002,-0.0017221949926119473,5,2021-01-17
000048.XSHE,22.81,22.39,23.17,22.24,5692996.0,128703426.63,-0.004200922964703091,5,2021-01-24
000049.XSHE,53.8,65.0,66.8,52.41,49201181.0,3051734593.7700005,0.11017366890653602,4,2020-12-27
000049.XSHE,63.9,67.6,69.35,63.58,46087677.0,3054859881.12,0.025174256475923862,4,2021-01-03
000049.XSHE,67.5,67.1,71.71,64.8,42706224.0,2926313770.9799986,-0.006142186200438937,5,2021-01-10
000049.XSHE,66.5,70.34,75.37999999999998,64.8,38171835.0,2638587251.93,0.032399107697485,5,2021-01-17
000049.XSHE,68.8,78.93,78.93,67.5,39146962.0,2882068048.2299995,0.08583490035854568,5,2021-01-24
000050.XSHE,15.01,14.73,15.2,14.6,47064084.0,698489705.0400001,-0.0032085870680000905,4,2020-12-27
000050.XSHE,14.68,14.74,14.86,14.04,60821728.0,877827043.7400001,7.987300000023012e-05,4,2021-01-03
000050.XSHE,14.77,14.96,15.18,14.4,89176905.0,1323444627.78,0.0021834592569214273,5,2021-01-10
000050.XSHE,15.02,15.71,17.48,14.94,237079022.0,3806110739.2200003,0.007460214051192571,5,2021-01-17
000050.XSHE,15.58,16.69,16.9,15.58,168347521.0,2774682794.6400003,0.009787330941021022,5,2021-01-24
000055.XSHE,4.49,4.48,4.52,4.31,17506359.0,77263996.08,-0.00010132936300000228,4,2020-12-27
000055.XSHE,4.48,4.47,4.52,4.38,13450092.0,59740541.42,-0.00010045008300396674,4,2021-01-03
000055.XSHE,4.46,4.34,4.53,4.18,28237563.0,124585999.23,-0.0013001497950104746,5,2021-01-10
000055.XSHE,4.34,4.24,4.34,4.1,21649759.0,90827139.4,-0.001000879359846496,5,2021-01-17
000055.XSHE,4.27,4.22,4.34,4.2,14934877.0,63890329.55,-0.00020046999195488802,5,2021-01-24
000056.XSHE,3.15,3.02,3.18,2.97,12756342.0,39029202.559999995,-0.0013994100699999956,4,2020-12-27
000056.XSHE,3.02,3.03,3.04,2.95,8064968.0,24137432.38,9.962987899148068e-05,4,2021-01-03
000056.XSHE,3.04,2.89,3.04,2.82,18171434.0,53515732.03999999,-0.0013993701059943353,5,2021-01-10
000056.XSHE,2.88,2.76,2.88,2.61,19315250.0,52527063.0,-0.0013007893148651029,5,2021-01-17
000056.XSHE,2.76,2.75,2.88,2.71,21529878.0,60230474.54000001,-0.0001004099949600823,5,2021-01-24
000058.XSHE,6.57,6.36,6.6,6.31,18563650.0,119388561.37000002,-0.0023991694002700736,4,2020-12-27
000058.XSHE,6.32,6.72,6.88,6.2,32635243.0,211788795.83999997,0.0036010238754498047,4,2021-01-03
